title,description,url,button_text,emoji,color,section,logo_url,,,
Shop All My Products,All trackers & planners in one place,https://payhip.com/Hermoneyandai,Shop Now,🛍️,sage,top,,,,
Free Newborn Essentials Guide,Real prices. What to buy. What to skip.,https://payhip.com/b/RwbQk,Get Free Guide,🍼,sage,top,,,,
Free Amazon Baby Registry Guide,How to save $200+ on your baby registry,https://payhip.com/b/5rjtz,Get Free Guide,📦,sage,top,,,,
Free Wealthsimple RESP Guide,Open an RESP in 15 min + get $25 free,https://payhip.com/b/1Vmuo,Get Free Guide,🏦,sage,top,,,,
Free Questrade RESP Guide,Self-directed RESP setup + get $50 free,https://payhip.com/b/ltfOx,Get Free Guide,🏦,sage,top,,,,
Maternity Leave Plan - $14.99,Plan your maternity finances clearly,https://payhip.com/b/Pr9eW,Shop Now,🛍️,rose,paid,,,,
Follow on Instagram,Daily money tips & mama life,https://instagram.com/Hermoneyandai,Follow Me,📸,rose,social,,,,
MomCozy M6 Breast Pump,The breast pump my insurance covered 100%,https://amzn.to/3QTsRJr,Shop Now,🛍️,white,shopping,,,,
Temu Storefront,Affordable finds I love — mom & home,https://temu.to/k/p3umr954hjw,Browse Picks,🛍,white,shopping,,,,
Amazon Baby Favourites,Everything I actually use for my baby girl,https://amzn.to/4ebfP3w,Shop List,🛍,white,shopping,,,,
Amazon Mom Favourites,Everything I actually use for myself,https://amzn.to/4ebfP3w,Shop List,🛍,white,shopping,,,,
Wealthsimple — Get $25,"Zero commissions, beautiful app. Get $25 when you sign up.",https://wealthsimple.com/invite/ANL87A,Claim $25,🏦,Dark,referral,,,,
Questrade — Get $50,"Low commissions, solid platform. Get $50 in free trades when you sign up.",https://start.questrade.com/?oaa_promo=575913378496897&s_cid=RAF14_share_link_refer_a_friend_email&utm_medium=share_link&utm_source=refer_a_friend&utm_campaign=RAF14&utm_content=personalized_link,Claim $50,🏦,Dark,referral,,,,
EQ Bank — Get $20,Best high-interest savings rate in Canada. Get $20 when you deposit $100.,https://join.eqbank.ca/?code=KIRTI5769,Claim $20,🏦,Dark,referral,,,,
Rakuten,Get $30 when you sign up. Best cashback hack for Canadian moms.,https://www.rakuten.ca/referrer?referrerid=ffpJTnnAGCg%3D&src=Link,Browse Picks,💸,Dark,referral,,,,
